sample_id,source_version,question_summary,matched_topic,expected_topic,cardiology_relevance,topic_correctness,matched_term_role,error_type,keep_for_cardiology_dataset,keep_for_error_analysis,reason,original_note
q0654,baseline_no_llm,58yo M with erectile dysfunction; PMH includes angina (on isosorbide).,angina,Erectile dysfunction,no,incorrect,past_history,past_history_distraction,no,yes,心血管词项 angina 仅作为既往史出现，主诉是勃起功能障碍，属于过往病史干扰。,past medical history distraction
q0114,baseline_no_llm,"72yo M with acute abdominal pain; PMH of CAD, AF, PUD.",coronary artery disease,Acute Mesenteric Ischemia,partial,incorrect,past_history,past_history_distraction,no,yes,CAD/AF 仅作为既往史背景出现，真正问诊是肠系膜缺血；心血管词项是背景信息，故 cardiology_relevance 标 partial。,past medical history distraction
q0025,baseline_no_llm,"38yo F with diarrhea/flushing/wheezing, MR + 5-HIAA elevation.",mitral regurgitation,Carcinoid syndrome,yes,incorrect,manifestation,manifestation_vs_cause,no,yes,MR 是类癌综合征的心脏受累表现，匹配项是表现而非病因；topic 应是 carcinoid syndrome。,manifestation vs cause
q0759,baseline_no_llm,35yo F with right HF and pulmonary fibrosis; family history of maternal HTN.,hypertension,Cor Pulmonale/Right Heart Failure,yes,incorrect,family_history,family_history_distraction,yes,yes,匹配到的 hypertension 来自家族史，并非主诉；问题本体仍是右心衰/肺心病，属于心血管范畴。,family history distraction
q0281,baseline_no_llm,60yo M undergoing cardiac stress test for CAD concern; question about stroke volume.,coronary artery disease,Stroke volume/Cardiac physiology/Hemodynamics,yes,incorrect,distractor,vague_topic,yes,yes,CAD 仅是检查情境中的背景，真正问的是心输出量/每搏量等心脏生理学；topic 偏离过宽。,vignette distraction
q0250,baseline_no_llm,"Newborn with weak cry, macroglossia, and myocardial hypertrophy.",heart failure,Pompe disease/Glycogen storage disease type II,yes,incorrect,manifestation,manifestation_vs_cause,no,yes,心肌肥厚是 Pompe 病的表现而非心衰本体；匹配错把表现当成主病。,manifestation vs cause
q0228,baseline_no_llm,"48yo M with rhinitis, naproxen-triggered wheeze, nasal polyp, pulsus paradoxus.",pulmonary embolism,Aspirin-exacerbated respiratory disease/Asthma exacerbation/Pulsus paradoxus,partial,incorrect,physical_sign,physical_sign_failure,no,yes,桡动脉随吸气消失（奇脉）是体征，不应被误判为肺栓塞；本质是哮喘 AERD。,"physical sign recognition failure, vignette distraction"
q0142,baseline_no_llm,"20yo M with palpitations, decrescendo early diastolic murmur and head-bobbing.",pulmonary embolism,Aortic Regurgitation/Valvular Heart Disease,yes,incorrect,physical_sign,physical_sign_failure,yes,yes,舒张期递减性杂音和德穆塞征是 AR 的体征；匹配 PE 错误，体征识别失败。,physical sign recognition failure
q0754,baseline_no_llm,"67yo M with sleep apnea, severe respiratory distress; asks underlying cause of apnea.",infective endocarditis,Central Sleep Apnea/Heart Failure,partial,incorrect,distractor,vague_topic,no,yes,匹配 IE 与本题无关；中枢性睡眠呼吸暂停可与心衰相关，但本题主考点不是 IE，也不适合作为核心心血管 QA 样本；保留用于主题匹配错误分析。,vignette distraction
q0104,baseline_no_llm,"54yo M with left arm/face swelling, distended neck and chest wall veins.",pulmonary embolism,Left brachiocephalic vein obstruction,partial,incorrect,distractor,anatomy_failure,no,yes,左侧静脉解剖（头臂静脉/上腔静脉）问题被错配到 PE；属于解剖/侧别识别错误。,anatomy/laterality failure
q0692,baseline_no_llm,"57yo M with known angina, severe chest pain unrelieved by NTG, hypotensive, ECG changes.",angina,Acute Myocardial Infarction/Acute Coronary Syndrome,yes,incorrect,prerequisite,partial_match,yes,yes,心绞痛是 ACS/MI 的前驱状态；匹配卡在 angina 未跟进到 MI，是状态迁移失败。,state transition failure
q0758,baseline_no_llm,"3yo boy with FTT, cataracts, brother had MI at 18; urine amino acid abnormality.",myocardial infarction,Homocystinuria,no,incorrect,family_history,family_history_distraction,no,yes,兄长 MI 是家族史信息；本题主诉属于代谢病（同型半胱氨酸尿症）。,family history distraction
q0913,baseline_no_llm,35yo M post long flight with PE diagnosis; calculate heparin loading dose.,pulmonary embolism,Pharmacokinetics/Loading Dose Calculation,partial,incorrect,calculation_context,calculation_context_confusion,no,yes,PE 仅作为给药情境，真正考察的是药代动力学负荷剂量计算。,vignette distraction
q0558,baseline_no_llm,"Tall young man with scoliosis, MVP, enlarged aortic root, FBN1+.",mitral valve prolapse,Marfan syndrome/Aortic dissection,yes,incorrect,manifestation,manifestation_vs_cause,yes,yes,MVP 是 Marfan 的心脏表现之一，但本题问的是 Marfan 综合征及主动脉夹层风险。,manifestation vs cause
q0089,baseline_no_llm,"59yo M with CHF, HTN, DM; new diuretic with risk of gynecomastia.",hypertension,Spironolactone/Aldosterone antagonist/Pharmacodynamics,partial,incorrect,past_history,past_history_distraction,no,yes,HTN/CHF 仅为既往史背景，真正问的是螺内酯的药效学；属于既往史与情境干扰。,"past medical history distraction, vignette distraction"
q0604,baseline_no_llm,"57yo M with tiredness, DOE, fingernail (clubbing) changes.",infective endocarditis,Digital clubbing/Chronic hypoxemia/Right-to-left shunt,yes,incorrect,out_of_scope,out_of_scope,yes,yes,杵状指/慢性低氧/右-左分流目前不在 KB 范围；匹配 IE 不准确，属于体征识别与覆盖范围问题。,"physical sign recognition failure, out of current KB scope"
q0432,baseline_no_llm,64yo M post total knee replacement; calculate conditional probability of DVT.,heart failure,Biostatistics/Probability rules,no,incorrect,past_history,past_history_distraction,no,yes,心衰只是既往史，本题是统计学条件概率题，与心血管无关。,"vignette distraction, past medical history distraction"
q0032,baseline_no_llm,"70yo M with chest pain 10 days post-MI/PCI; leans forward, diffuse ST elevations.",myocardial infarction,Dressler syndrome/Acute pericarditis,yes,partial,past_history,partial_match,yes,yes,原标注 Topic correct=yes，但 MI 仅是 Dressler 综合征的触发/前驱事件，二者通过前驱关系相关；按规则降为 partial。,"past medical history distraction, physical sign recognition failure"
q0030,baseline_no_llm,69yo M with HF; candoxatril (neprilysin inhibitor) plus ARB; asks what increases.,heart failure,Natriuretic peptide/Bradykinin/Neprilysin inhibitor,yes,incorrect,treatment_context,treatment_context_confusion,yes,yes,HF 是治疗情境，真正考察的是利钠肽/缓激肽/脑啡肽酶抑制剂药理；topic 偏向治疗背景而非药物机制。,vignette distraction
q0095,baseline_no_llm,"21yo M with fever, cubital track marks, S. aureus bacteremia, tricuspid valve aneurysm.",mitral regurgitation,Infective endocarditis/Intravenous drug use,yes,incorrect,physical_sign,anatomy_failure,yes,yes,实际是三尖瓣 IE，却匹配二尖瓣关闭不全；杂音/瓣膜体征 + 瓣膜侧别识别均失败。,"anatomy/laterality failure, manifestation vs cause, physical sign recognition failure"
q0223,baseline_no_llm,"58yo F with flushing/diarrhea, ejection murmur over pulmonic+tricuspid.",aortic stenosis,Carcinoid syndrome,yes,incorrect,physical_sign,anatomy_failure,no,yes,病变在肺动脉瓣/三尖瓣（右心系），却匹配主动脉狭窄；属于瓣膜解剖侧别错误，根因仍是类癌综合征。,"anatomy/laterality failure, manifestation vs cause"
q0238,baseline_no_llm,"59yo M with MCP arthropathy, transferrin saturation 88%, ferritin 1200.",pulmonary embolism,Hemochromatosis,yes,incorrect,manifestation,manifestation_vs_cause,no,yes,心肌病是血色病的并发症/表现；匹配 PE 与本题无关，根本病因是铁过载。,manifestation vs cause
q0517,baseline_no_llm,"72yo F with facial/arm swelling, JVD; hx breast cancer s/p radiation, smoker.",hypertension,Superior vena cava syndrome/Lung cancer,partial,incorrect,past_history,past_history_distraction,no,yes,HTN 是既往史，真正考察的是上腔静脉综合征/肺癌；体征（JVD/面部水肿）也未被正确识别。,"past medical history distraction, physical sign recognition failure"
q0616,baseline_no_llm,"20yo healthy AA athlete; father MI at 53, paternal uncle sudden death at 35.",myocardial infarction,Hypertrophic Cardiomyopathy/Sudden Cardiac Death,yes,incorrect,family_history,family_history_distraction,yes,yes,父辈 MI 是家族史；患者真正风险是 HCM 与 SCD；属于家族史干扰。,family history distraction
q0027,baseline_no_llm,"20yo F with anorexia, refeeding triggers palpitations and low K/Mg/PO4.",mitral regurgitation,Refeeding syndrome,yes,incorrect,manifestation,manifestation_vs_cause,no,yes,心脏体征/心电异常是再喂养综合征的表现；匹配 MR 是表现而非病因。,"manifestation vs cause, vignette distraction"
q0574,baseline_no_llm,75yo F with edema and SCD; liver biopsy at autopsy.,pulmonary embolism,Right heart failure,yes,incorrect,out_of_scope,out_of_scope,yes,yes,肝淤血/右心衰是病因，但当前 KB 未细分右心衰；匹配 PE 不准确，属覆盖范围与表现-病因混淆。,"out of current KB scope, manifestation vs cause"
q0203,baseline_no_llm,"51yo M with fever, dental abscesses, holosystolic murmur, S. mutans bacteremia.",mitral regurgitation,Infective endocarditis,yes,incorrect,manifestation,manifestation_vs_cause,yes,yes,MR 是 IE 引起的瓣膜表现；topic 应是 IE 的发病机制而非二尖瓣反流本身。,manifestation vs cause
q0733,baseline_no_llm,68yo M with palpitations and holosystolic murmur with mid-systolic click.,mitral regurgitation,Mitral Valve Prolapse,yes,incorrect,manifestation,manifestation_vs_cause,yes,yes,中收缩期咔哒音 + 收缩期杂音是 MVP 体征；匹配 MR 是 MVP 的伴随表现而非主病。,manifestation vs cause / physical sign recognition failure
q0665,baseline_no_llm,59yo F with AF on warfarin; sudden vertigo and right lateral medullary ischemia.,atrial fibrillation,Wallenberg syndrome/Lateral medullary syndrome,yes,incorrect,past_history,past_history_distraction,no,yes,AF 是既往史/卒中机制背景；本题考察的是侧延髓综合征（神经科）；原标注 Topic correct 未勾选，故标 unclear。,"past medical history distraction, manifestation vs cause"
q0718,baseline_no_llm,"36yo M with severe epigastric pain radiating to back, hypertriglyceridemia, elevated lipase; recent diuretic.",coronary artery disease,Acute pancreatitis / Hypertriglyceridemia-induced pancreatitis,no,incorrect,distractor,out_of_scope,no,yes,本题核心是上腹痛放射至背部、脂肪酶升高和高甘油三酯提示急性胰腺炎；matched_topic 为 coronary artery disease，与主考点无关，不适合纳入心血管 QA 数据集。,
q0921,baseline_no_llm,"63yo M with left calf pain when walking; DM, prior PCI, heavy smoker; PAD treatment.",coronary artery disease,Peripheral artery disease / Intermittent claudication treatment,partial,partial,past_history,partial_match,yes,yes,本题核心是行走时小腿疼痛提示间歇性跛行/PAD治疗；coronary artery disease 作为既往 PCI 背景和动脉粥样硬化风险相关，但不是主考点，因此标为 partial。,
q0429,baseline_no_llm,"57yo M with CAD, sudden chest pain, hypotensive cold/clammy; identify causes of cardiogenic shock.",myocardial infarction,Cardiogenic shock due to acute myocardial infarction,yes,partial,prerequisite,partial_match,yes,yes,本题核心是识别心源性休克及其病因；myocardial infarction 是导致心源性休克的重要前置病因，但 matched_topic 不是完整主考点，因此标为 partial。,
q0225,baseline_no_llm,71yo F with sudden right hemiparesis and aphasia; treated with tPA; ECG finding raising risk.,pulmonary embolism,Atrial fibrillation as a risk factor for ischemic stroke,partial,incorrect,distractor,vague_topic,no,yes,本题核心是急性缺血性卒中后寻找增加栓塞风险的 ECG 表现，通常指向 atrial fibrillation；matched_topic 为 pulmonary embolism，与主考点不一致，更像错误匹配，不适合纳入核心心血管 QA 数据集。,
q0459,baseline_no_llm,RCT comparing carvedilol vs metoprolol in chronic heart failure; interpret trial outcome.,heart failure,Chronic heart failure trial interpretation / Beta-blocker comparison,yes,partial,primary_disease,partial_match,yes,yes,本题属于慢性心力衰竭背景下比较 carvedilol 与 metoprolol 的随机对照试验结果解读；matched_topic 为 heart failure，领域正确，但真实主考点更偏临床试验结果解释，因此标为 partial。,
q0603,baseline_no_llm,Autopsy after MI; identify necrosis type seen on cardiac biopsy.,myocardial infarction,Coagulative necrosis after myocardial infarction,yes,partial,prerequisite,partial_match,yes,yes,本题核心是心肌梗死后心肌组织发生的凝固性坏死；myocardial infarction 是关键疾病背景，但真实考点是坏死类型，因此标为 partial。,
q0284,baseline_no_llm,"63yo M with HF symptoms, prior MI, edema, elevated BUN/Cr; choose appropriate therapy.",myocardial infarction,Heart failure treatment after prior myocardial infarction,yes,partial,past_history,partial_match,yes,yes,本题核心是有心衰症状和容量负荷表现时选择合适治疗；prior MI 是既往病史和病因背景，不是直接主考点，因此标为 partial。,
q0828,baseline_no_llm,"60yo M with classic STEMI (chest pain, ST elevations, elevated cardiac enzymes); pathophysiologic change.",pulmonary embolism,ST-elevation myocardial infarction / Myocardial ischemic injury,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是典型 STEMI 的病理生理变化；matched_topic 为 pulmonary embolism，与题干主考点不一致，属于明显主题误匹配。,
q0890,baseline_no_llm,"89yo F with HF/AF on digoxin; diarrhea, vomiting, blurry vision; suspected digoxin toxicity management.",heart failure,Digoxin toxicity management,yes,partial,manifestation,partial_match,yes,yes,本题核心是 Digoxin 中毒的管理；matched_topic 为 heart failure，与主考点不一致，属于明显主题误匹配。,
q0006,baseline_no_llm,Pro athlete with HCM-suspicious EKG; ethical management amid coach/owner pressure.,cardiomyopathy,Hypertrophic Cardiomyopathy,yes,partial,prerequisite,partial_match,yes,yes,本题核心是 HCM 的伦理管理；matched_topic 为 cardiomyopathy，领域正确，但真实考点更偏伦理问题，因此标为 partial。,
q0777,baseline_no_llm,20yo F with prior DVT/PE; chooses most effective non-hormonal contraception.,pulmonary embolism,Non-hormonal contraception,yes,partial,prerequisite,partial_match,yes,yes,本题核心是选择有效的非激素避孕方法；matched_topic 为 pulmonary embolism，与主考点不一致，属于明显主题误匹配。,
q0825,baseline_no_llm,"23yo pregnant F with palpitations, opening snap and apical diastolic murmur; mitral stenosis management.",mitral regurgitation,Mitral Stenosis Management,yes,partial,prerequisite,partial_match,yes,yes,本题核心是二尖瓣狭窄的管理；matched_topic 为 mitral regurgitation，与主考点不一致，属于明显主题误匹配。,
