sample_id,graph_file,result_index,matched_topic,status,node_count,edge_count,node_validity_rate,edge_validity_rate,valid_graph_rate,isolated_node_ratio,duplicate_node_ratio,duplicate_edge_ratio,process_object_connectivity_rate,state_object_attachment_rate,valid_type_transition_rate,explanation_path_rate,object_grounding_rate,process_grounding_rate,state_grounding_rate,overall_grounding_rate,answer_concept_coverage,graph_evidence_usage_rate,path_support_rate
q0000,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0000.json,0,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0001,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0001.json,1,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0002,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0002.json,2,myocarditis,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.0000,0.3333,0.1818,0.3333,1.0000
q0003,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0003.json,3,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0004,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0004.json,4,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0005,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0005.json,5,cardiomyopathy,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,1.0000,1.0000,0.3333,0.3333,0.0000,0.2222,0.1111,0.1111,1.0000
q0006,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0006.json,6,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0007,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0007.json,7,coronary artery disease,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.0000,0.3333,0.5833,0.2222,1.0000
q0008,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0008.json,8,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0009,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0009.json,9,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
