sample_id,source_version,question_summary,matched_topic,expected_topic,cardiology_relevance,topic_correctness,matched_term_role,error_type,keep_for_cardiology_dataset,keep_for_error_analysis,reason,original_note
q0114,llm_supervised,LLM primary topic: Infective endocarditis risk factor (predisposing factor),mitral regurgitation,Infective endocarditis risk factor / Mitral valve vegetation,yes,partial,prerequisite,partial_match,yes,yes,本题核心是感染性心内膜炎的易感因素或危险因素；mitral regurgitation/二尖瓣病变可作为心内膜炎相关瓣膜背景，但不是完整主考点，因此标为 partial。,LLM relevance note: The question centers on infective endocarditis with mitral valve vegetation and asks for the strongest predisposing factor.
q0025,llm_supervised,LLM primary topic: Congenital heart disease evaluation/management (cyanosis with continuous murmur and differential limb perfusion),tetralogy of Fallot,Congenital heart disease evaluation / Cyanotic heart disease with continuous murmur,yes,partial,distractor,vague_topic,yes,yes,本题核心是根据发绀、连续性杂音和肢体灌注差异判断先天性心脏病并选择下一步处理；tetralogy of Fallot 属于发绀型先心病相关诊断，但题干线索并不明确等同于法洛四联症，因此标为 partial。,"LLM relevance note: The question tests the next management step for a suspected congenital cardiac lesion based on cyanosis, continuous murmur, and abnormal femoral pulses/perfusion."
q0281,llm_supervised,LLM primary topic: Mechanism of a drug used in congestive heart failure causing gynecomastia (site of action in the kidney),heart failure,Spironolactone mechanism in congestive heart failure / Collecting duct mineralocorticoid receptor antagonism,yes,partial,primary_disease,partial_match,yes,yes,本题核心是心衰治疗药物导致男性乳房发育的机制及其肾脏作用部位，通常指向螺内酯；heart failure 是核心临床背景，但真实考点更具体为药物机制，因此标为 partial。,"LLM relevance note: The question tests the renal site of action of a drug added for congestive heart failure, linking the clinical improvement and adverse effect to a specific mechanism."
q0250,llm_supervised,LLM primary topic: Reversible regional wall motion abnormality after revascularization (hibernating myocardium),hypertension,Hibernating myocardium after coronary revascularization,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是冠脉闭塞经血运重建后可逆性室壁运动异常，即冬眠心肌；hypertension 与主考点不一致，只是宽泛心血管背景或误匹配，因此标为 incorrect。,LLM relevance note: The question tests a cardiology mechanism and investigation (echocardiographic changes) in the setting of coronary occlusion treated with angioplasty/stenting.
q0228,llm_supervised,LLM primary topic: heart failure trial applicability (carvedilol vs metoprolol),heart failure,Heart failure trial applicability / Beta-blocker comparison,yes,partial,primary_disease,partial_match,yes,yes,本题核心是慢性收缩性心衰中 carvedilol 与 metoprolol 随机试验结果适用人群的判断；heart failure 是核心疾病背景，但真实考点更具体为临床试验适用性，因此标为 partial。,LLM relevance note: The question asks which patient population matches a randomized clinical trial in chronic systolic heart failure and beta-blocker outcomes.
q0142,llm_supervised,LLM primary topic: Pulmonary hypertension/right heart failure physiology and analogous disease process,pulmonary embolism,Pulmonary hypertension / Right heart failure physiology,yes,partial,prerequisite,partial_match,yes,yes,本题核心是肺动脉高压导致右心室扩张和右心衰的生理机制及类比疾病过程；pulmonary embolism 可作为导致肺血管阻力升高和肺高压的相关病因/前置机制之一，但不是完整主考点，因此标为 partial。,LLM relevance note: The question centers on cardiology evaluation of pulmonary hypertension with right ventricular dilation and asks for the most analogous disease process.
q0104,llm_supervised,LLM primary topic: Cause of rust-colored sputum and bibasilar crackles/wheezing (cardiogenic vs other etiologies),tetralogy of Fallot,Left heart failure / Cardiogenic pulmonary edema,partial,incorrect,distractor,vague_topic,no,yes,本题核心是根据铁锈色痰、双肺底啰音/喘鸣判断病因，并涉及左心衰或心源性肺水肿等鉴别；tetralogy of Fallot 与主考点不一致，属于错误匹配，不适合纳入核心心血管 QA 数据集。,LLM relevance note: The question asks which cause is associated with the exam findings and includes left heart failure as the key cardiology-related option.
q0089,llm_supervised,LLM primary topic: Post–myocardial infarction complication cause (Dressler’s syndrome),myocardial infarction,Dressler syndrome / Post-myocardial infarction pericarditis,yes,partial,prerequisite,partial_match,yes,yes,本题核心是心肌梗死后并发 Dressler 综合征/心包炎的机制或病因；myocardial infarction 是关键前置事件，但真实主考点是 MI 后并发症，因此标为 partial。,LLM relevance note: The question tests a cardiology diagnosis and mechanism/cause following a recent ST-elevation myocardial infarction using ECG and clinical features.
q0432,llm_supervised,LLM primary topic: Congenital heart disease diagnosis (murmur characterization),infective endocarditis,Congenital heart disease diagnosis based on murmur characterization,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据杂音性质、时相和传导判断具体先天性心脏病；infective endocarditis 与主考点不一致，属于先心病/杂音题中的主题误匹配。,LLM relevance note: The question tests identification of a specific congenital cardiac diagnosis based on clinical findings and murmur timing/radiation.
q0032,llm_supervised,LLM primary topic: Prosthetic valve endocarditis organism characteristics,mitral regurgitation,Prosthetic valve endocarditis / Causative organism characteristics,yes,partial,manifestation,partial_match,yes,yes,本题核心是人工瓣感染性心内膜炎及相关病原体特征；mitral regurgitation 或新发瓣膜杂音可作为心内膜炎的瓣膜受累表现，但不是完整主考点，因此标为 partial。,LLM relevance note: The question tests a cardiology-related diagnosis (prosthetic valve endocarditis) and asks for organism-associated characteristics based on echocardiographic vegetations and new murmur.
q0030,llm_supervised,LLM primary topic: Acute heart failure treatment mechanism (medication property affecting preload/venous return),myocardial infarction,Acute heart failure treatment mechanism / Preload reduction,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是急性心衰治疗药物通过降低前负荷/静脉回流改善症状的机制；myocardial infarction 可能是急性心衰背景之一，但不是题目主考点，属于主题误匹配。,LLM relevance note: The question tests a cardiology medication’s hemodynamic property in an acute presentation with signs of heart failure.
q0095,llm_supervised,LLM primary topic: Pulmonary hypertension genetics (right ventricular hypertrophy),heart failure,Pulmonary arterial hypertension / BMPR2 mutation,yes,partial,complication,partial_match,yes,yes,本题核心是肺动脉高压、右室肥厚及其相关基因突变，通常指向 BMPR2；heart failure 与右心衰表现相关，但不是主考点，因此标为 partial。,LLM relevance note: The question tests a cardiopulmonary diagnosis (pulmonary hypertension/right ventricular hypertrophy) and asks about its associated gene mutation.
q0223,llm_supervised,LLM primary topic: eplerenone effect on all-cause mortality after acute myocardial infarction with heart failure,heart failure,Eplerenone after acute myocardial infarction with heart failure / Mortality benefit,yes,partial,primary_disease,partial_match,yes,yes,本题核心是急性心肌梗死合并心衰患者使用 eplerenone 后对全因死亡率的影响；heart failure 是核心临床背景，但真实考点更具体为药物/临床试验结局，因此标为 partial。,LLM relevance note: The question tests a cardiology clinical trial outcome (relative risk reduction in all-cause mortality) in patients with acute myocardial infarction complicated by heart failure.
q0238,llm_supervised,LLM primary topic: Amiodarone adverse effects,coronary artery disease,Amiodarone adverse effects,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是胺碘酮长期不良反应；coronary artery disease 只是室性心动过速或心血管用药背景，不是主考点，因此不纳入核心心血管 QA 数据集。,LLM relevance note: The question tests a cardiology-related medication (amiodarone) used for ventricular tachycardia and asks about its long-term adverse effects.
q0517,llm_supervised,LLM primary topic: Management of unstable arrhythmia with hypotension and irregular tachycardia,hypertension,Unstable tachyarrhythmia management / Synchronized cardioversion,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是低血压休克合并不规则快速心律失常时的紧急处理，通常指向同步电复律；hypertension 只是背景病史，不是主考点。,LLM relevance note: The question tests immediate cardiology management of an unstable rhythm (ECG with irregular tachycardia and shock), requiring an appropriate next step such as cardioversion or antiarrhythmic therapy.
q0027,llm_supervised,LLM primary topic: Underlying cause of syncope due to polymorphic ventricular tachycardia (cardiac channelopathy/ECG mechanism),hypertension,Polymorphic ventricular tachycardia / Long QT or cardiac channelopathy,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是晕厥伴多形性室速的病因判断，通常涉及长 QT、Brugada 等心脏离子通道病或 ECG 机制；hypertension 与主考点不一致，属于心血管题中的主题误匹配。,"LLM relevance note: The question centers on diagnosing the cause of syncope with telemetry-confirmed polymorphic ventricular tachycardia and ECG-based options (e.g., prolonged QT, Brugada)."
q0203,llm_supervised,LLM primary topic: Acute decompensated heart failure vs other acute causes of dyspnea,hypertension,Acute decompensated heart failure,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是急性呼吸困难的鉴别诊断，并且临床表现指向急性失代偿性心力衰竭；hypertension 只是常见危险因素或背景病史，不是主考点。,"LLM relevance note: The question asks for the most likely diagnosis among options including acute decompensated heart failure, using clinical findings consistent with cardiac decompensation."
q0429,llm_supervised,LLM primary topic: Medication modification in a patient with congestive heart failure and hypertension presenting with erectile dysfunction,heart failure,Heart failure medication modification in erectile dysfunction,yes,partial,primary_disease,partial_match,yes,yes,本题核心是在充血性心衰和高血压背景下，因勃起功能障碍进行药物调整；heart failure 是关键临床背景，但真实考点更具体为用药调整和副作用处理，因此标为 partial。,"LLM relevance note: The question asks for the most appropriate medication change in a patient with congestive heart failure and hypertension, making the tested concept cardiology/heart-failure–related."
q0225,llm_supervised,LLM primary topic: Infective endocarditis (tricuspid valve) causative organism,mitral regurgitation,Tricuspid valve infective endocarditis / Causative organism,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是三尖瓣感染性心内膜炎及其常见致病菌；mitral regurgitation 与三尖瓣心内膜炎的主考点不一致，属于瓣膜/心内膜炎题中的主题误匹配。,LLM relevance note: The question tests a cardiac diagnosis (tricuspid valve endocarditis) and asks for the most likely causative organism.
q0459,llm_supervised,LLM primary topic: Type 1 error in clinical studies (trial statistics),heart failure,Type I error in clinical trial statistics,partial,incorrect,calculation_context,calculation_context_confusion,no,yes,本题使用心衰临床试验作为背景，但真正考点是统计学中的 I 类错误定义；heart failure 只是研究场景，不是医学主考点，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question uses a heart failure trial context but tests the statistical definition of a type 1 error, which is not a cardiology-specific concept."
q0284,llm_supervised,LLM primary topic: Stable angina etiology (coronary atherosclerosis/thrombus mechanism),myocardial infarction,Stable angina due to coronary atherosclerosis,yes,partial,prerequisite,partial_match,yes,yes,本题核心是稳定型劳力性心绞痛的病因，通常为冠状动脉粥样硬化导致供需失衡；myocardial infarction 与冠脉粥样硬化机制相关，但不是当前稳定型心绞痛的完整主考点，因此标为 partial。,"LLM relevance note: The question tests the most likely cause of exertional chest pain consistent with angina, focusing on coronary atherosclerotic mechanisms."
q0006,llm_supervised,LLM primary topic: Congestive heart failure medication to improve survival,heart failure,Congestive heart failure survival-improving medication,yes,partial,primary_disease,partial_match,yes,yes,本题核心是充血性心力衰竭患者选择能改善生存率的药物；heart failure 是核心疾病背景，但真实考点更具体为药物治疗和预后获益，因此标为 partial。,LLM relevance note: The question tests a cardiology treatment decision for class IV congestive heart failure to improve overall survival.
q0163,llm_supervised,LLM primary topic: Stroke volume physiology and factors that decrease it,coronary artery disease,Stroke volume physiology / Factors decreasing stroke volume,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是每搏量生理学及导致每搏量下降的因素；coronary artery disease 可能与心功能下降相关，但不是本题主考点，属于心血管生理题中的主题误匹配。,"LLM relevance note: The question tests cardiology physiology (stroke volume) and asks which scenario would decrease it, with heart failure as a key option."
q0537,llm_supervised,LLM primary topic: Infective endocarditis causative organism (mitral valve vegetations),mitral regurgitation,Infective endocarditis causative organism / Mitral valve vegetation,yes,partial,manifestation,partial_match,yes,yes,本题核心是根据二尖瓣赘生物诊断感染性心内膜炎并判断最可能致病菌；mitral regurgitation 或二尖瓣异常可作为瓣膜受累表现/背景，但不是完整主考点，因此标为 partial。,LLM relevance note: The question centers on diagnosing infective endocarditis via mitral valve vegetations and asks for the most likely causative organism.
q0348,llm_supervised,LLM primary topic: Congestive heart failure causing hepatic congestion,pulmonary embolism,Congestive heart failure with congestive hepatopathy,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是充血性心力衰竭导致肝淤血/淤血性肝病；pulmonary embolism 与主考点不一致，属于心肺急症相关概念下的主题误匹配。,LLM relevance note: The question tests a cardiac cause (heart failure leading to liver changes) rather than incidental history.
q0525,llm_supervised,LLM primary topic: Monitoring therapeutic efficacy/adherence in atrial fibrillation on warfarin,atrial fibrillation,Atrial fibrillation anticoagulation monitoring / Warfarin efficacy,yes,partial,primary_disease,partial_match,yes,yes,本题核心是房颤患者使用华法林后的抗凝疗效或依从性监测；atrial fibrillation 是核心疾病背景，但真实考点更具体为抗凝监测，因此标为 partial。,"LLM relevance note: The question tests appropriate study selection for monitoring anticoagulation efficacy in a patient with atrial fibrillation (warfarin), which is cardiology-related."
q0159,llm_supervised,LLM primary topic: Arrhythmia mechanism (irregular rapid rhythm/palpitations),hypertension,Arrhythmia mechanism / Irregular rapid rhythm,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是心悸伴不规则快速心律的心律失常机制判断；hypertension 只是背景危险因素，不是主考点，因此标为 incorrect。,LLM relevance note: The question tests the cause of an acute arrhythmia presentation with ECG findings in a patient with palpitations and an irregular rhythm.
q0220,llm_supervised,LLM primary topic: Acute pericarditis vs other cardiac causes of chest pain (ECG findings),angina,Acute pericarditis / ECG findings in pleuritic chest pain,yes,partial,manifestation,partial_match,yes,yes,本题核心是根据胸痛特点、听诊和 ECG 表现判断急性心包炎；angina 与胸痛鉴别相关，但不是主考点，因此标为 partial。,"LLM relevance note: The question tests a cardiology diagnosis and mechanism based on chest pain features, auscultation, and characteristic ECG changes."
