sample_id,bucket,question,matched_topic,graph_relevance,path_explainability,main_error_type,notes
q0026,high_quality,"A 67-year-old man with stable coronary artery disease comes to the physician for a follow-up examination. Aside from occasional exertional chest pain on mowing the lawn or prolonged jogging, he feels well. He goes jogging for 20 minutes once a week and takes a tablet of sublingual nitroglycerine prior to his run to prevent anginal chest pain. The patient would like to run longer distances and asks the physician whether he could increase the dose of the drug prior to running. Administration of higher dosages of this drug is most likely to result in which of the following?",angina,yes,partial,weak_grounding,"The topic is related to angina and nitroglycerin use. The graph is likely relevant to coronary disease/anginal chest pain, but the key mechanism should focus on nitrate-induced vasodilation and dose-related adverse effects such as hypotension rather than only angina itself."
q0014,high_quality,"A 38-year-old woman comes to the physician because of a 10-month history of nonbloody diarrhea and recurrent episodes of flushing and wheezing. She does not take any medications. Physical examination shows a hyperpigmented rash around the base of her neck. Cardiac examination shows a grade 4/6, holosystolic murmur in the 5th intercostal space at the left midclavicular line. Echocardiography shows left-sided endocardial and valvular fibrosis with moderate mitral regurgitation; there are no septal defects or right-sided valvular defects. Urinalysis shows increased 5-hydroxyindoleacetic acid concentration. Further evaluation of this patient is most likely to show which of the following findings?",mitral regurgitation,partial,partial,topic_mismatch,"The case contains mitral regurgitation, but the main disease mechanism is carcinoid syndrome with valvular fibrosis. A graph centered only on mitral regurgitation may miss the upstream endocrine/tumor mechanism and systemic findings."
q0115,high_quality,"A 75-year-old man comes to the physician because of a 4-month history of progressive shortness of breath and chest pressure with exertion. Cardiac examination shows a crescendo-decrescendo systolic murmur that is heard best in the second right intercostal space. Radial pulses are decreased and delayed bilaterally. Transesophageal echocardiography shows hypertrophy of the left ventricle and a thick, calcified aortic valve. The area of the left ventricular outflow tract is 30.6 mm2. Using continuous-wave Doppler measurements, the left ventricular outflow tract velocity is 1.0 m/s, and the peak aortic valve velocity is 3.0 m/s. Which of the following values most closely represents the area of the stenotic aortic valve?",aortic stenosis,yes,yes,none,"The question is directly about aortic stenosis. The graph topic matches the clinical mechanism, including calcified aortic valve, outflow obstruction, exertional symptoms, and pressure overload. The reasoning path can support the answer if it includes the continuity-equation relation between LVOT flow and aortic valve area."
q0207,high_quality,A 51-year-old man comes to the physician because of progressively worsening dyspnea on exertion and fatigue for the past 2 months. Cardiac examination shows no murmurs or bruits. Coarse crackles are heard at the lung bases bilaterally. An ECG shows an irregularly irregular rhythm with absent p waves. An x-ray of the chest shows globular enlargement of the cardiac shadow with prominent hila and bilateral fluffy infiltrates. Transthoracic echocardiography shows a dilated left ventricle with an ejection fraction of 40%. Which of the following is the most likely cause of this patient's condition?,atrial fibrillation,partial,partial,answer_graph_misalignment,"The ECG findings clearly indicate atrial fibrillation, but the clinical condition is dilated cardiomyopathy/heart failure likely caused by tachycardia-induced cardiomyopathy. A graph centered only on atrial fibrillation is relevant but may not fully explain the progression to reduced ejection fraction and pulmonary congestion."
q0229,high_quality,"A 4-hour-old male newborn has perioral discoloration for the past several minutes. Oxygen by nasal cannula does not improve the cyanosis. He was delivered by cesarean delivery at 37 weeks' gestation to a 38-year-old woman, gravida 3, para 2. Apgar scores were 8 and 9 at 1 and 5 minutes, respectively. The mother has type 2 diabetes mellitus that was well-controlled during the pregnancy. She has not received any immunizations since her childhood. The newborn's temperature is 37.1°C (98.8°F), pulse is 170/min, respirations are 55/min, and blood pressure is 80/60 mm Hg. Pulse oximetry shows an oxygen saturation of 85%. Cardiopulmonary examination shows a 2/6 holosystolic murmur along the lower left sternal border. The abdomen is soft and non-tender. Echocardiography shows pulmonary arteries arising from the posterior left ventricle, and the aorta rising anteriorly from the right ventricle. Which of the following is the most appropriate next step in the management of this patient?",tetralogy of Fallot,partial,partial,topic_mismatch,"The case describes transposition of the great arteries rather than classic tetralogy of Fallot. The graph may still involve congenital cyanotic heart disease, but the matched topic is not the main diagnosis, so the explanation path is only partially useful."
q0006,low_grounding,A 70-year-old Caucasian male visits your office regularly for treatment of New York Heart association class IV congestive heart failure. Which of the following medications would you add to this man's drug regimen in order to improve his overall survival?,heart failure,yes,partial,over_generalization,"The topic is directly related to advanced congestive heart failure, but the question asks about survival-improving drug therapy. A useful graph should connect heart failure severity to evidence-based pharmacologic management; a generic heart-failure mechanism graph would only partially support the answer."
q0116,low_grounding,"A 60-year-old woman with a history of atrial arrhythmia arrives in the emergency department with complaints of tinnitus, headache, visual disturbances, and severe diarrhea. The patient is given oxygen by nasal cannula. ECG leads, pulse oximeter and an automated blood pressure cuff are applied. The patient suddenly faints. Her ECG indicates the presence of a multifocal ventricular tachycardia with continuous change in the QRS electrical axis. Which of the following drugs is most likely responsible for this patient's symptoms?",arrhythmia,yes,partial,over_generalization,"The case is related to arrhythmia, specifically torsades de pointes with quinidine toxicity. A generic arrhythmia graph is relevant, but it may miss the key drug-induced mechanism linking quinidine/cinchonism symptoms to QT prolongation and polymorphic ventricular tachycardia."
q0017,low_grounding,"A 53-year-old man with obesity and heart disease presents to your outpatient clinic with complaints of orthopnea, significant dyspnea on minimal exertion, nausea, vomiting, and diarrhea. He says that his old doctor gave him ""some pills"" that he takes in varying amounts every morning. Physical exam is significant for a severely displaced point of maximal impulse, bilateral rales in the lower lung fields, an S3 gallop, and hepatomegaly. You decide to perform an EKG (shown in figure A). Suddenly, his rhythm changes to ventricular tachycardia followed by ventricular fibrillation, and he syncopizes and expires despite resuscitative efforts. High levels of which medication are most likely responsible?",cardiac arrest,partial,partial,answer_graph_misalignment,"The final event is cardiac arrest, but the question mainly tests digoxin toxicity in a patient with heart failure, including gastrointestinal symptoms and malignant ventricular arrhythmia. A graph centered only on cardiac arrest may describe the outcome but not the causal medication mechanism."
q0042,low_grounding,"A 37-year-old woman is being evaluated for difficulty with swallowing for the past few months. She explains that she experiences difficulty swallowing solid foods only. Her medical history is relevant for hypothyroidism and migraines. Her current medications include daily levothyroxine and acetaminophen as needed for pain. The vital signs include blood pressure 110/90 mm Hg, pulse rate 55/min, and respiratory rate 12/min. On physical examination, her abdomen is non-tender. Her voice is hoarse, but there is no pharyngeal hyperemia on oral examination. On cardiac auscultation, an opening snap followed by an early to mid-diastolic rumble is heard over the apex. A barium swallow X-ray is performed and is unremarkable. Echocardiography shows an enlarged left atrium and abnormal blood flow through 1 of the atrioventricular valves. What is the most likely valve abnormality seen in this patient?",valvular heart disease,yes,partial,over_generalization,"The case is clearly related to valvular heart disease, most likely mitral stenosis causing left atrial enlargement and dysphagia/hoarseness from compression. However, the matched topic is broad, so the graph may be relevant but too general unless it explicitly represents mitral valve narrowing, left atrial enlargement, and compression symptoms."
q0005,low_grounding,"You are the team physician for an NBA basketball team. On the morning of an important playoff game, an EKG of a star player, Mr. P, shows findings suspicious for hypertrophic cardiomyopathy (HCM). Mr. P is an otherwise healthy, fit, professional athlete.

The playoff game that night is the most important of Mr. P's career. When you inform the coach that you are thinking of restricting Mr. P's participation, he threatens to fire you. Later that day you receive a phone call from the owner of the team threatening a lawsuit should you restrict Mr. P's ability to play. Mr. P states that he will be playing in the game ""if it's the last thing I do.""

Which of the following is the most appropriate next step?",cardiomyopathy,partial,partial,topic_mismatch,"The case mentions hypertrophic cardiomyopathy, but the main question is about medical ethics and physician responsibility to restrict unsafe athletic participation. A cardiomyopathy graph is medically related, but it may not fully explain the decision-making answer unless it includes sudden cardiac death risk and duty to protect the patient."
